2013,28.00
2013,31.99
2013,26.8
2013,27.9
2013,23.5
2013,30.5
2013,28.5
2013,29
2013,28.9
2013,30.5
2013,31.2
2013,28.6
2013,30.5
2013,28.9
2013,30.5
2015,37.00
2015,39.9
2015,36.9
2015,35.5
2015,36.9
2015,39.9
2015,37
2015,31.5
2015,33.5
2015,32
2015,35
2015,35.5
2015,35
2015,33.3
2015,33.5
2017,38.5
2017,39.5
2017,44.3
2017,37.5
2017,41.2
2017,42
2017,44
2017,41.2
2017,42
2017,43.5
2017,41.2
2014,34.9
2014,33.8
2014,33.5
2014,33.5
2016,41
2014,36.5
2012,29.5
2014,34.5
2016,39
2012,30
2014,35.5
2017,37.5
2012,26.9
2014,33
2014,30
2014,32
2015,36.9
2013,23.5
2012,26.5
2017,41.2
2016,36.7
